nfl_id,CSOE_avg,jugadas,player_name,player_position
43353.0,-0.1602165500885887,33,Kevin Byard,FS
43373.0,-0.16148856508670562,46,Kendall Fuller,CB
52844.0,-0.16178776857634775,20,Christian Rozeboom,ILB
45021.0,-0.17571686368845502,23,Rudy Ford,FS
46527.0,-0.1798368845298406,29,Frankie Luvu,OLB
56011.0,-0.1848097096719543,28,Jordan Howden,FS
48026.0,-0.1907145725246906,27,Nick Scott,FS
54554.0,-0.19336392022198373,32,Terrel Bernard,MLB
44962.0,-0.21047152394291732,42,Damontae Kazee,FS
47855.0,-0.2112843485466378,34,Germaine Pratt,OLB
52452.0,-0.22187686546270227,21,Grant Delpit,SS
44906.0,-0.22690346938914235,70,Cameron Sutton,CB
47804.0,-0.2297754928831664,21,Darnell Savage,FS
46190.0,-0.23010772105918734,46,Taron Johnson,CB
47947.0,-0.23487803859567366,26,E.J. Speed,MLB
47931.0,-0.23987646851962244,37,Dre Greenlaw,ILB
44893.0,-0.24478993346366848,51,Fabian Moreau,CB
44827.0,-0.24835918793119596,22,Malik Hooker,SS
44869.0,-0.25100113267927765,22,Zach Cunningham,MLB
52435.0,-0.26518643818150295,27,Jordyn Brooks,ILB
53489.0,-0.2653434068890214,24,Pete Werner,ILB
55960.0,-0.2732843436642469,22,Jordan Battle,SS
46902.0,-0.27333929225756015,27,Robert Spillane,ILB
52594.0,-0.28000170524731294,40,Alohi Gilman,FS
55967.0,-0.2941872843510718,33,Mekhi Blackmon,CB
43533.0,-0.2943834607442075,38,Jayron Kearse,FS
54562.0,-0.29552188465323986,65,Kerby Joseph,FS
38868.0,-0.29819037392215364,42,Tashaun Gipson,FS
46212.0,-0.3030549534452147,22,Ja'Whaun Bentley,ILB
42361.0,-0.3092448046704274,32,Marcus Peters,CB
52453.0,-0.3114079913794798,63,Antoine Winfield Jr.,FS
54496.0,-0.3116318420336735,47,Daxton Hill,CB
46077.0,-0.31713222417896825,34,Roquan Smith,MLB
46259.0,-0.3204751675735111,43,DeShon Elliott,SS
54607.0,-0.3218317298537155,29,Cobie Durant,CB
54704.0,-0.33276396620552645,34,Rodney Thomas,FS
44903.0,-0.3368423566072699,31,John Johnson,SS
47882.0,-0.3381772942261646,40,Mike Edwards,FS
42543.0,-0.35444725481979045,32,Quandre Diggs,FS
